Code,Place,Type
"AL","ALABAMA","US"
"AK","ALASKA","US"
"AZ","ARIZONA","US"
"AR","ARKANSAS","US"
"CA","CALIFORNIA","US"
"CO","COLORADO","US"
"CT","CONNECTICUT","US"
"DE","DELAWARE","US"
"DC","DISTRICT OF COLUMBIA","US"
"FL","FLORIDA","US"
"GA","GEORGIA","US"
"HI","HAWAII","US"
"ID","IDAHO","US"
"IL","ILLINOIS","US"
"IN","INDIANA","US"
"IA","IOWA","US"
"KS","KANSAS","US"
"KY","KENTUCKY","US"
"LA","LOUISIANA","US"
"ME","MAINE","US"
"MD","MARYLAND","US"
"MA","MASSACHUSETTS","US"
"MI","MICHIGAN","US"
"MN","MINNESOTA","US"
"MS","MISSISSIPPI","US"
"MO","MISSOURI","US"
"MT","MONTANA","US"
"NE","NEBRASKA","US"
"NV","NEVADA","US"
"NH","NEW HAMPSHIRE","US"
"NJ","NEW JERSEY","US"
"NM","NEW MEXICO","US"
"NY","NEW YORK","US"
"NC","NORTH CAROLINA","US"
"ND","NORTH DAKOTA","US"
"OH","OHIO","US"
"OK","OKLAHOMA","US"
"OR","OREGON","US"
"PA","PENNSYLVANIA","US"
"RI","RHODE ISLAND","US"
"SC","SOUTH CAROLINA","US"
"SD","SOUTH DAKOTA","US"
"TN","TENNESSEE","US"
"TX","TEXAS","US"
"UT","UTAH","US"
"VT","VERMONT","US"
"VA","VIRGINIA","US"
"WA","WASHINGTON","US"
"WV","WEST VIRGINIA","US"
"WI","WISCONSIN","US"
"WY","WYOMING","US"
"GU","GUAM","US"
"PR","PUERTO RICO","US"
"VI","VIRGIN ISLANDS U.S.","US"
"X1","UNITED STATES","US"
"A0","ALBERTA CANADA","CANADIAN"
"A1","BRITISH COLUMBIA CANADA","CANADIAN"
"A2","MANITOBA CANADA","CANADIAN"
"A3","NEW BRUNSWICK CANADA","CANADIAN"
"A4","NEWFOUNDLAND CANADA","CANADIAN"
"A5","NOVA SCOTIA CANADA","CANADIAN"
"A6","ONTARIO CANADA","CANADIAN"
"A7","PRINCE EDWARD ISLAND CANADA","CANADIAN"
"A8","QUEBEC CANADA","CANADIAN"
"A9","SASKATCHEWAN CANADA","CANADIAN"
"B0","YUKON CANADA","CANADIAN"
"Z4","CANADA (FEDERAL LEVEL)","CANADIAN"
"B2","AFGHANISTAN","FOREIGN"
"Y6","ALAND ISLANDS","FOREIGN"
"B3","ALBANIA","FOREIGN"
"B4","ALGERIA","FOREIGN"
"B5","AMERICAN SAMOA","US"
"B6","ANDORRA","FOREIGN"
"B7","ANGOLA","FOREIGN"
"1A","ANGUILLA","FOREIGN"
"B8","ANTARCTICA","FOREIGN"
"B9","ANTIGUA AND BARBUDA","FOREIGN"
"C1","ARGENTINA","FOREIGN"
"1B","ARMENIA","FOREIGN"
"1C","ARUBA","FOREIGN"
"C3","AUSTRALIA","FOREIGN"
"C4","AUSTRIA","FOREIGN"
"1D","AZERBAIJAN","FOREIGN"
"C5","BAHAMAS","FOREIGN"
"C6","BAHRAIN","FOREIGN"
"C7","BANGLADESH","FOREIGN"
"C8","BARBADOS","FOREIGN"
"1F","BELARUS","FOREIGN"
"C9","BELGIUM","FOREIGN"
"D1","BELIZE","FOREIGN"
"G6","BENIN","FOREIGN"
"D0","BERMUDA","FOREIGN"
"D2","BHUTAN","FOREIGN"
"D3","BOLIVIA","FOREIGN"
"1E","BOSNIA AND HERZEGOVINA","FOREIGN"
"B1","BOTSWANA","FOREIGN"
"D4","BOUVET ISLAND","FOREIGN"
"D5","BRAZIL","FOREIGN"
"D6","BRITISH INDIAN OCEAN TERRITORY","FOREIGN"
"D9","BRUNEI DARUSSALAM","FOREIGN"
"E0","BULGARIA","FOREIGN"
"X2","BURKINA FASO","FOREIGN"
"E2","BURUNDI","FOREIGN"
"E3","CAMBODIA","FOREIGN"
"E4","CAMEROON","FOREIGN"
"E8","CAPE VERDE","FOREIGN"
"E9","CAYMAN ISLANDS","FOREIGN"
"F0","CENTRAL AFRICAN REPUBLIC","FOREIGN"
"F2","CHAD","FOREIGN"
"F3","CHILE","FOREIGN"
"F4","CHINA","FOREIGN"
"F6","CHRISTMAS ISLAND","FOREIGN"
"F7","COCOS (KEELING) ISLANDS","FOREIGN"
"F8","COLOMBIA","FOREIGN"
"F9","COMOROS","FOREIGN"
"G0","CONGO","FOREIGN"
"Y3","CONGO THE DEMOCRATIC REPUBLIC OF THE","FOREIGN"
"G1","COOK ISLANDS","FOREIGN"
"G2","COSTA RICA","FOREIGN"
"L7","COTE D'IVOIRE","FOREIGN"
"1M","CROATIA","FOREIGN"
"G3","CUBA","FOREIGN"
"G4","CYPRUS","FOREIGN"
"2N","CZECH REPUBLIC","FOREIGN"
"G7","DENMARK","FOREIGN"
"1G","DJIBOUTI","FOREIGN"
"G9","DOMINICA","FOREIGN"
"G8","DOMINICAN REPUBLIC","FOREIGN"
"H1","ECUADOR","FOREIGN"
"H2","EGYPT","FOREIGN"
"H3","EL SALVADOR","FOREIGN"
"H4","EQUATORIAL GUINEA","FOREIGN"
"1J","ERITREA","FOREIGN"
"1H","ESTONIA","FOREIGN"
"H5","ETHIOPIA","FOREIGN"
"H7","FALKLAND ISLANDS (MALVINAS)","FOREIGN"
"H6","FAROE ISLANDS","FOREIGN"
"H8","FIJI","FOREIGN"
"H9","FINLAND","FOREIGN"
"I0","FRANCE","FOREIGN"
"I3","FRENCH GUIANA","FOREIGN"
"I4","FRENCH POLYNESIA","FOREIGN"
"2C","FRENCH SOUTHERN TERRITORIES","FOREIGN"
"I5","GABON","FOREIGN"
"I6","GAMBIA","FOREIGN"
"2Q","GEORGIA","FOREIGN"
"2M","GERMANY","FOREIGN"
"J0","GHANA","FOREIGN"
"J1","GIBRALTAR","FOREIGN"
"J3","GREECE","FOREIGN"
"J4","GREENLAND","FOREIGN"
"J5","GRENADA","FOREIGN"
"J6","GUADELOUPE","FOREIGN"
"J8","GUATEMALA","FOREIGN"
"Y7","GUERNSEY","FOREIGN"
"J9","GUINEA","FOREIGN"
"S0","GUINEA-BISSAU","FOREIGN"
"K0","GUYANA","FOREIGN"
"K1","HAITI","FOREIGN"
"K4","HEARD ISLAND AND MCDONALD ISLANDS","FOREIGN"
"X4","HOLY SEE (VATICAN CITY STATE)","FOREIGN"
"K2","HONDURAS","FOREIGN"
"K3","HONG KONG","FOREIGN"
"K5","HUNGARY","FOREIGN"
"K6","ICELAND","FOREIGN"
"K7","INDIA","FOREIGN"
"K8","INDONESIA","FOREIGN"
"K9","IRAN ISLAMIC REPUBLIC OF","FOREIGN"
"L0","IRAQ","FOREIGN"
"L2","IRELAND","FOREIGN"
"Y8","ISLE OF MAN","FOREIGN"
"L3","ISRAEL","FOREIGN"
"L6","ITALY","FOREIGN"
"L8","JAMAICA","FOREIGN"
"M0","JAPAN","FOREIGN"
"Y9","JERSEY","FOREIGN"
"M2","JORDAN","FOREIGN"
"1P","KAZAKSTAN","FOREIGN"
"M3","KENYA","FOREIGN"
"J2","KIRIBATI","FOREIGN"
"M4","KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF","FOREIGN"
"M5","KOREA REPUBLIC OF","FOREIGN"
"M6","KUWAIT","FOREIGN"
"1N","KYRGYZSTAN","FOREIGN"
"M7","LAO PEOPLE'S DEMOCRATIC REPUBLIC","FOREIGN"
"1R","LATVIA","FOREIGN"
"M8","LEBANON","FOREIGN"
"M9","LESOTHO","FOREIGN"
"N0","LIBERIA","FOREIGN"
"N1","LIBYAN ARAB JAMAHIRIYA","FOREIGN"
"N2","LIECHTENSTEIN","FOREIGN"
"1Q","LITHUANIA","FOREIGN"
"N4","LUXEMBOURG","FOREIGN"
"N5","MACAU","FOREIGN"
"1U","MACEDONIA THE FORMER YUGOSLAV REPUBLIC OF","FOREIGN"
"N6","MADAGASCAR","FOREIGN"
"N7","MALAWI","FOREIGN"
"N8","MALAYSIA","FOREIGN"
"N9","MALDIVES","FOREIGN"
"O0","MALI","FOREIGN"
"O1","MALTA","FOREIGN"
"1T","MARSHALL ISLANDS","FOREIGN"
"O2","MARTINIQUE","FOREIGN"
"O3","MAURITANIA","FOREIGN"
"O4","MAURITIUS","FOREIGN"
"2P","MAYOTTE","FOREIGN"
"O5","MEXICO","FOREIGN"
"1K","MICRONESIA FEDERATED STATES OF","FOREIGN"
"1S","MOLDOVA REPUBLIC OF","FOREIGN"
"O9","MONACO","FOREIGN"
"P0","MONGOLIA","FOREIGN"
"Z5","MONTENEGRO","FOREIGN"
"P1","MONTSERRAT","FOREIGN"
"P2","MOROCCO","FOREIGN"
"P3","MOZAMBIQUE","FOREIGN"
"E1","MYANMAR","FOREIGN"
"T6","NAMIBIA","FOREIGN"
"P5","NAURU","FOREIGN"
"P6","NEPAL","FOREIGN"
"P7","NETHERLANDS","FOREIGN"
"P8","NETHERLANDS ANTILLES","FOREIGN"
"1W","NEW CALEDONIA","FOREIGN"
"Q2","NEW ZEALAND","FOREIGN"
"Q3","NICARAGUA","FOREIGN"
"Q4","NIGER","FOREIGN"
"Q5","NIGERIA","FOREIGN"
"Q6","NIUE","FOREIGN"
"Q7","NORFOLK ISLAND","FOREIGN"
"1V","NORTHERN MARIANA ISLANDS","US"
"Q8","NORWAY","FOREIGN"
"P4","OMAN","FOREIGN"
"R0","PAKISTAN","FOREIGN"
"1Y","PALAU","FOREIGN"
"1X","PALESTINIAN TERRITORY OCCUPIED","FOREIGN"
"R1","PANAMA","FOREIGN"
"R2","PAPUA NEW GUINEA","FOREIGN"
"R4","PARAGUAY","FOREIGN"
"R5","PERU","FOREIGN"
"R6","PHILIPPINES","FOREIGN"
"R8","PITCAIRN","FOREIGN"
"R9","POLAND","FOREIGN"
"S1","PORTUGAL","FOREIGN"
"S3","QATAR","FOREIGN"
"S4","REUNION","FOREIGN"
"S5","ROMANIA","FOREIGN"
"1Z","RUSSIAN FEDERATION","FOREIGN"
"S6","RWANDA","FOREIGN"
"Z0","SAINT BARTHELEMY","FOREIGN"
"U8","SAINT HELENA","FOREIGN"
"U7","SAINT KITTS AND NEVIS","FOREIGN"
"U9","SAINT LUCIA","FOREIGN"
"Z1","SAINT MARTIN","FOREIGN"
"V0","SAINT PIERRE AND MIQUELON","FOREIGN"
"V1","SAINT VINCENT AND THE GRENADINES","FOREIGN"
"Y0","SAMOA","FOREIGN"
"S8","SAN MARINO","FOREIGN"
"S9","SAO TOME AND PRINCIPE","FOREIGN"
"T0","SAUDI ARABIA","FOREIGN"
"T1","SENEGAL","FOREIGN"
"Z2","SERBIA","FOREIGN"
"T2","SEYCHELLES","FOREIGN"
"T8","SIERRA LEONE","FOREIGN"
"U0","SINGAPORE","FOREIGN"
"2B","SLOVAKIA","FOREIGN"
"2A","SLOVENIA","FOREIGN"
"D7","SOLOMON ISLANDS","FOREIGN"
"U1","SOMALIA","FOREIGN"
"T3","SOUTH AFRICA","FOREIGN"
"1L","SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS","FOREIGN"
"U3","SPAIN","FOREIGN"
"F1","SRI LANKA","FOREIGN"
"V2","SUDAN","FOREIGN"
"V3","SURINAME","FOREIGN"
"L9","SVALBARD AND JAN MAYEN","FOREIGN"
"V6","SWAZILAND","FOREIGN"
"V7","SWEDEN","FOREIGN"
"V8","SWITZERLAND","FOREIGN"
"V9","SYRIAN ARAB REPUBLIC","FOREIGN"
"F5","TAIWAN","FOREIGN"
"2D","TAJIKISTAN","FOREIGN"
"W0","TANZANIA UNITED REPUBLIC OF","FOREIGN"
"W1","THAILAND","FOREIGN"
"Z3","TIMOR-LESTE","FOREIGN"
"W2","TOGO","FOREIGN"
"W3","TOKELAU","FOREIGN"
"W4","TONGA","FOREIGN"
"W5","TRINIDAD AND TOBAGO","FOREIGN"
"W6","TUNISIA","FOREIGN"
"W8","TURKEY","FOREIGN"
"2E","TURKMENISTAN","FOREIGN"
"W7","TURKS AND CAICOS ISLANDS","FOREIGN"
"2G","TUVALU","FOREIGN"
"W9","UGANDA","FOREIGN"
"2H","UKRAINE","FOREIGN"
"C0","UNITED ARAB EMIRATES","FOREIGN"
"X0","UNITED KINGDOM","FOREIGN"
"2J","UNITED STATES MINOR OUTLYING ISLANDS","US"
"X3","URUGUAY","FOREIGN"
"2K","UZBEKISTAN","FOREIGN"
"2L","VANUATU","FOREIGN"
"X5","VENEZUELA","FOREIGN"
"Q1","VIET NAM","FOREIGN"
"D8","VIRGIN ISLANDS BRITISH","FOREIGN"
"X8","WALLIS AND FUTUNA","FOREIGN"
"U5","WESTERN SAHARA","FOREIGN"
"T7","YEMEN","FOREIGN"
"Y4","ZAMBIA","FOREIGN"
"Y5","ZIMBABWE","FOREIGN"
"XX","UNKNOWN","UNKNOWN"
